variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-14	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-14	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-14	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3273_S76219	2020-12-14	0.70429
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-14	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-14	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14757_S95701	2020-12-28	0.1686390740832
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14757_S95701	2020-12-28	0.258492146744296
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-28	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14757_S95701	2020-12-28	0.572861739050851
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-28	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2020-12-28	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.463896175617838
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.329174447924312
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3073_S75334	2021-01-12	0.206922109913746
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-12	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-12	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-12	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3275_S76367	2021-01-25	0.8754
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-25	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3275_S76367	2021-01-25	0.093541
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-25	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-25	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-01-25	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3822_S77533	2021-02-09	0.91571
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-09	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-09	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-09	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-09	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-09	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_4527_S79665	2021-02-17	0.97378
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-17	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-17	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-17	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-17	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-17	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_4511_S79646	2021-02-22	0.99744
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-22	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-22	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-22	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-22	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-02-22	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_5087_S79871	2021-03-02	0.98388
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-02	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-02	0
