BSF_run	BSF_sample_name	BSF_start_date	LocationID	LocationName	N_in_Consensus	RNA_ID_int	additional_information	adress_town	state	connected_people	dcpLatitude	dcpLongitude	include_in_report	report_category	sample_date	status
BSF_1272	CoV_33732_S126602	2022-10-17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	986	CoV_33732		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-04	pass
BSF_1272	CoV_33757_S126563	2022-10-17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	729	CoV_33757		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-09	pass
BSF_1272	CoV_33775_S126581	2022-10-17	ATTP_8-Bregenz	Bregenz	729	CoV_33775		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-09	pass
BSF_1279	CoV_33788_S126691	2022-10-24	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_33788		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-11	pass
BSF_1279	CoV_33813_S126718	2022-10-24	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	519	CoV_33813		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-16	pass
BSF_1285	CoV_33830_S126836	2022-11-07	ATTP_8-Bregenz	Bregenz	8354	CoV_33830		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-16	pass
BSF_1282	CoV_33846_S126799	2022-10-31	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	489	CoV_33846		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-18	pass
BSF_1282	CoV_33872_S126826	2022-10-31	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_33872		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-23	pass
BSF_1282	CoV_33881_S126788	2022-10-31	ATTP_8-Bregenz	Bregenz	519	CoV_33881		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-23	pass
BSF_1285	CoV_33909_S126868	2022-11-07	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	8551	CoV_33909		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-30	pass
BSF_1285	CoV_33915_S126874	2022-11-07	ATTP_8-Bregenz	Bregenz	490	CoV_33915		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-30	pass
BSF_1285	CoV_33933_S126892	2022-11-07	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	519	CoV_33933		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-01	pass
