group	variants	groupName	groupMembers
1	B.1.1.153	B.1.1.153	B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331
1	B.1.1.170	B.1.1.153	B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331
1	B.1.1.232	B.1.1.153	B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331
1	B.1.1.331	B.1.1.153	B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331
2	B.1.1.318	B.1.1.318	B.1.1.318:B.1.1.70
2	B.1.1.70	B.1.1.318	B.1.1.318:B.1.1.70
3	B.1.1.347	B.1.1.347	B.1.1.347
4	B.1.1.7	B.1.1.7	B.1.1.7
5	B.1.160	B.1.160	B.1.160:B.1.465
5	B.1.465	B.1.160	B.1.160:B.1.465
6	B.1.177	B.1.177	B.1.177
7	B.1.221	B.1.221	B.1.221
8	B.1.224	B.1.224	B.1.224:B.1.258:B.1.258.17
8	B.1.258	B.1.224	B.1.224:B.1.258:B.1.258.17
8	B.1.258.17	B.1.224	B.1.224:B.1.258:B.1.258.17
9	B.1.351	B.1.351	B.1.351:B.1.513
9	B.1.513	B.1.351	B.1.351:B.1.513
10	B.1.427	B.1.427	B.1.427:B.1.429
10	B.1.429	B.1.427	B.1.427:B.1.429
11	B.1.525	B.1.525	B.1.525
12	B.1.526	B.1.526	B.1.526
13	B.1.617.1	B.1.617.1	B.1.617.1
14	B.1.617.2	B.1.617.2	B.1.617.2
15	B.1.621	B.1.621	B.1.621:B.1.621.1
15	B.1.621.1	B.1.621	B.1.621:B.1.621.1
16	B.1.640	B.1.640	B.1.640
17	BA.1	BA.1	BA.1
18	BA.2	BA.2	BA.2
19	C.1.2	C.35	C.1.2:C.35
19	C.35	C.35	C.1.2:C.35
20	C.36.3	C.36.3	C.36.3
21	C.37	C.37	C.37
22	P.1	P.1	P.1
23	P.2	P.2	P.2
24	R.1	R.1	R.1
25	other	other	other
