group	variants	groupName	groupMembers
1	AT.1	B.1.8	AT.1:B.1.1.331:B.1.8
1	B.1.1.331	B.1.8	AT.1:B.1.1.331:B.1.8
1	B.1.8	B.1.8	AT.1:B.1.1.331:B.1.8
2	B.1.1.153	B.1.1.153	B.1.1.153
3	B.1.1.170	B.1.1.170	B.1.1.170
4	B.1.1.232	B.1.1.232	B.1.1.232
5	B.1.1.39	B.1.1.39	B.1.1.39
6	B.1.1.7	B.1.1.7	B.1.1.7
7	B.1.1.70	B.1.1.70	B.1.1.70
8	B.1.146	B.1.146	B.1.146
9	B.1.160	B.1.160	B.1.160:B.1.465
9	B.1.465	B.1.160	B.1.160:B.1.465
10	B.1.177	B.1.177	B.1.177
11	B.1.221	B.1.221	B.1.221
12	B.1.258	B.1.258	B.1.258
13	B.1.351	B.1.351	B.1.351
14	B.1.427	B.1.427	B.1.427
15	B.1.429	B.1.429	B.1.429
16	B.1.525	B.1.525	B.1.525
17	B.1.526	B.1.526	B.1.526
18	B.1.617.2	B.1.617.2	B.1.617.2
19	B.1.621	B.1.621	B.1.621
20	BA.1	BA.1	BA.1
21	BA.2	BA.2	BA.2
22	BA.3	BA.3	BA.3
23	C.35	C.35	C.35:C.37
23	C.37	C.35	C.35:C.37
24	P.1	P.1	P.1
25	P.2	P.2	P.2
26	R.1	R.1	R.1
