group	variants	groupName	groupMembers	variants_alias
1	A.2	A.2	A.2	A.2
2	B.1.1.10	B.1.1.10	B.1.1.10	B.1.1.10
3	B.1.1.187	B.1.1.187	B.1.1.187	B.1.1.187
4	B.1.1.217.1	S.1	B.1.1.217.1	S.1
5	B.1.1.229	B.1.1.229	B.1.1.229	B.1.1.229
6	B.1.1.232	B.1.1.232	B.1.1.232	B.1.1.232
7	B.1.1.241.3	AH.3	B.1.1.241.3	AH.3
8	B.1.1.28.1.17.1	P.1.17.1	B.1.1.28.1.17.1	P.1.17.1
9	B.1.1.280	B.1.1.280	B.1.1.280	B.1.1.280
10	B.1.1.298	B.1.1.298	B.1.1.298	B.1.1.298
11	B.1.1.302	B.1.1.302	B.1.1.302	B.1.1.302
12	B.1.1.318.2	AZ.2	B.1.1.318.2	AZ.2
13	B.1.1.333	B.1.1.333	B.1.1.333	B.1.1.333
14	B.1.1.523	B.1.1.523	B.1.1.523	B.1.1.523
15	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
16	B.1.1.529.1.1	BA.1.1	B.1.1.529.1.1	BA.1.1
17	B.1.1.529.1.17	BA.1.17	B.1.1.529.1.17	BA.1.17
18	B.1.1.529.1.21	BA.1.21	B.1.1.529.1.21	BA.1.21
19	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
20	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
21	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
22	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
23	B.1.1.529.2.75.5.1.3.1	BN.1.3.1	B.1.1.529.2.75.5.1.3.1	BN.1.3.1
24	B.1.1.529.2.9	BA.2.9	B.1.1.529.2.9	BA.2.9
25	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
26	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
27	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
28	B.1.1.529.5.2	BA.5.2	B.1.1.529.5.2	BA.5.2
29	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
30	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
31	B.1.1.529.5.3.1.1.1.1.1.1	BQ.1.1	B.1.1.529.5.3.1.1.1.1.1.1	BQ.1.1
32	B.1.1.529.5.3.1.1.1.1.1.9	BQ.1.9	B.1.1.529.5.3.1.1.1.1.1.9	BQ.1.9
33	B.1.1.529.5.3.1.4.1.1.2	CQ.2	B.1.1.529.5.3.1.4.1.1.2	CQ.2
34	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
35	B.1.1.7.1	Q.1	B.1.1.7.1	Q.1
36	B.1.1.70	B.1.1.70	B.1.1.70	B.1.1.70
37	B.1.160	B.1.160	B.1.160	B.1.160
38	B.1.177	B.1.177	B.1.177	B.1.177
39	B.1.177.14	B.1.177.14	B.1.177.14	B.1.177.14
40	B.1.177.21	B.1.177.21	B.1.177.21	B.1.177.21
41	B.1.177.45	B.1.177.45	B.1.177.45	B.1.177.45
42	B.1.177.54	B.1.177.54	B.1.177.54	B.1.177.54
43	B.1.177.60	B.1.177.60	B.1.177.60	B.1.177.60
44	B.1.22	B.1.22	B.1.22	B.1.22
45	B.1.221	B.1.221	B.1.221	B.1.221
46	B.1.258	B.1.258	B.1.258	B.1.258
47	B.1.258.17	B.1.258.17	B.1.258.17	B.1.258.17
48	B.1.258.2	B.1.258.2	B.1.258.2	B.1.258.2
49	B.1.329	B.1.329	B.1.329	B.1.329
50	B.1.36.22	B.1.36.22	B.1.36.22	B.1.36.22
51	B.1.463	B.1.463	B.1.463	B.1.463
52	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
53	B.1.617.2.121	AY.121	B.1.617.2.121	AY.121
54	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
55	B.1.617.2.4	AY.4	B.1.617.2.4	AY.4
56	B.1.617.2.4.5	AY.4.5	B.1.617.2.4.5	AY.4.5
57	B.1.617.2.43	AY.43	B.1.617.2.43	AY.43
58	B.1.617.2.5	AY.5	B.1.617.2.5	AY.5
59	B.1.617.2.63	AY.63	B.1.617.2.63	AY.63
60	B.1.617.2.68	AY.68	B.1.617.2.68	AY.68
61	B.1.617.2.71	AY.71	B.1.617.2.71	AY.71
62	B.1.617.2.9	AY.9	B.1.617.2.9	AY.9
63	B.1.617.2.9.2	AY.9.2	B.1.617.2.9.2	AY.9.2
64	B.1.617.2.98.1	AY.98.1	B.1.617.2.98.1	AY.98.1
65	XAY.2	XAY.2	XAY.2	XAY.2
66	XBB	XBB	XBB	XBB
67	XBC	XBC	XBC	XBC
