group	variants	groupName	groupMembers	variants_alias
1	B.1.1.1.37	C.37	B.1.1.1.37	C.37
2	B.1.1.28.1	P.1	B.1.1.28.1	P.1
3	B.1.1.28.1.1	P.1.1	B.1.1.28.1.1	P.1.1
4	B.1.1.28.1.16	P.1.16	B.1.1.28.1.16	P.1.16
5	B.1.1.28.2	P.2	B.1.1.28.2	P.2
6	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
7	B.1.1.529.1.1	BA.1.1	B.1.1.529.1.1	BA.1.1
8	B.1.1.529.1.1.1	BA.1.1.1	B.1.1.529.1.1.1	BA.1.1.1
9	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
10	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
11	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
12	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
13	B.1.1.529.2.75.5.1	BN.1	B.1.1.529.2.75.5.1	BN.1
14	B.1.1.529.2.9	BA.2.9	B.1.1.529.2.9	BA.2.9
15	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
16	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
17	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
18	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
19	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
20	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
21	B.1.1.7.1	Q.1	B.1.1.7.1	Q.1
22	B.1.160	B.1.160	B.1.160	B.1.160
23	B.1.177	B.1.177	B.1.177	B.1.177
24	B.1.177.45	B.1.177.45	B.1.177.45	B.1.177.45
25	B.1.221	B.1.221	B.1.221	B.1.221
26	B.1.351	B.1.351	B.1.351	B.1.351
27	B.1.427	B.1.427	B.1.427	B.1.427
28	B.1.429	B.1.429	B.1.429	B.1.429
29	B.1.525	B.1.525	B.1.525	B.1.525
30	B.1.526	B.1.526	B.1.526	B.1.526
31	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
32	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
33	B.1.617.2.124	AY.124	B.1.617.2.124	AY.124
34	B.1.617.2.126	AY.126	B.1.617.2.126	AY.126
35	B.1.617.2.43	AY.43	B.1.617.2.43	AY.43
36	B.1.617.2.9.2	AY.9.2	B.1.617.2.9.2	AY.9.2
37	XAK	XAK	XAK	XAK
38	XBB	XBB	XBB	XBB
39	XBB.1.5	XBB.1.5	XBB.1.5	XBB.1.5
40	XBB.1.9	XBB.1.9	XBB.1.9	XBB.1.9
41	XBB.1.9.2.1	EG.1	XBB.1.9.2.1	EG.1
