group	variants	groupName	groupMembers
1	AT.1	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.153	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.170	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.232	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.331	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.39	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.1.70	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
1	B.1.8	B.1.8	AT.1:B.1.1.153:B.1.1.170:B.1.1.232:B.1.1.331:B.1.1.39:B.1.1.70:B.1.8
2	AY.100	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.103	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.106	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.112	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.116	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.120	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.121	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.122	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.124	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.125	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.126	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.127	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.129	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
