BSF_run	BSF_sample_name	BSF_start_date	LocationID	LocationName	N_in_Consensus	RNA_ID_int	additional_information	adress_town	state	connected_people	dcpLatitude	dcpLongitude	include_in_report	report_category	sample_date	status
BSF_1269	CoV_33706_S125385	2022-10-10	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	768	CoV_33706		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-02	pass
BSF_1269	CoV_33710_S125389	2022-10-10	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	519	CoV_33710		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-02	pass
BSF_1272	CoV_33723_S126592	2022-10-17	ATTP_8-Bregenz	Bregenz	687	CoV_33723		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-02	pass
BSF_1272	CoV_33730_S126600	2022-10-17	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	730	CoV_33730		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-04	pass
BSF_1272	CoV_33732_S126602	2022-10-17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	986	CoV_33732		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-04	pass
BSF_1272	CoV_33757_S126563	2022-10-17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	729	CoV_33757		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-09	pass
BSF_1272	CoV_33761_S126567	2022-10-17	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	729	CoV_33761		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-09	pass
BSF_1272	CoV_33775_S126581	2022-10-17	ATTP_8-Bregenz	Bregenz	729	CoV_33775		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-09	pass
BSF_1279	CoV_33785_S126690	2022-10-24	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	519	CoV_33785		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-11	pass
BSF_1279	CoV_33788_S126691	2022-10-24	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_33788		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-11	pass
BSF_1279	CoV_33813_S126718	2022-10-24	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	519	CoV_33813		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-10-16	pass
BSF_1279	CoV_33817_S126722	2022-10-24	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	489	CoV_33817		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-16	pass
BSF_1285	CoV_33830_S126836	2022-11-07	ATTP_8-Bregenz	Bregenz	8354	CoV_33830		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-10-16	pass
BSF_1282	CoV_33843_S126798	2022-10-31	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	489	CoV_33843		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-10-18	pass
